Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
223.56	0.23143	1845.0	0.00054200	22.485	22.503	119.40	77.049	122.27	552.26	-0.25892	0.00041021	0.076445	0.011546	19.561	0.051123	36.931	38.659	191.67	70.590	82.243	112.84	25.200	1.1912e-05	0.0076279
224.15	0.23730	1842.1	0.00054286	22.557	22.576	119.72	77.229	122.54	549.40	-0.25587	0.00040671	0.076295	0.011454	20.031	0.049923	36.966	38.696	191.64	70.809	82.532	112.84	25.027	1.1944e-05	0.0076689
224.73	0.24317	1839.2	0.00054370	22.628	22.648	120.04	77.405	122.80	546.59	-0.25284	0.00040330	0.076147	0.011364	20.501	0.048779	37.000	38.732	191.61	71.024	82.817	112.85	24.859	1.1975e-05	0.0077094
225.31	0.24905	1836.4	0.00054454	22.699	22.718	120.35	77.577	123.06	543.84	-0.24984	0.00039997	0.076001	0.011276	20.970	0.047687	37.033	38.768	191.58	71.235	83.098	112.85	24.697	1.2006e-05	0.0077493
225.87	0.25492	1833.6	0.00054537	22.768	22.788	120.66	77.746	123.32	541.15	-0.24687	0.00039672	0.075857	0.011189	21.440	0.046643	37.066	38.802	191.56	71.442	83.375	112.86	24.540	1.2036e-05	0.0077888
226.42	0.26079	1830.9	0.00054619	22.835	22.856	120.96	77.911	123.57	538.50	-0.24392	0.00039353	0.075715	0.011105	21.909	0.045644	37.098	38.836	191.53	71.646	83.649	112.86	24.388	1.2066e-05	0.0078277
226.97	0.26666	1828.2	0.00054699	22.902	22.924	121.25	78.074	123.82	535.91	-0.24100	0.00039042	0.075574	0.011021	22.378	0.044687	37.130	38.870	191.51	71.847	83.919	112.85	24.241	1.2095e-05	0.0078662
227.50	0.27254	1825.5	0.00054779	22.968	22.990	121.54	78.233	124.06	533.36	-0.23810	0.00038738	0.075435	0.010940	22.847	0.043770	37.161	38.903	191.49	72.044	84.186	112.85	24.098	1.2124e-05	0.0079042
228.03	0.27841	1822.9	0.00054859	23.033	23.056	121.83	78.389	124.30	530.86	-0.23522	0.00038440	0.075297	0.010859	23.315	0.042890	37.191	38.935	191.47	72.238	84.450	112.85	23.960	1.2153e-05	0.0079418
228.54	0.28428	1820.3	0.00054937	23.097	23.120	122.11	78.542	124.54	528.40	-0.23236	0.00038148	0.075161	0.010781	23.784	0.042045	37.222	38.967	191.45	72.429	84.711	112.84	23.826	1.2181e-05	0.0079790
229.05	0.29015	1817.7	0.00055014	23.160	23.184	122.38	78.692	124.77	525.98	-0.22953	0.00037861	0.075027	0.010703	24.252	0.041233	37.251	38.999	191.43	72.617	84.969	112.83	23.695	1.2208e-05	0.0080158
229.55	0.29603	1815.2	0.00055091	23.223	23.247	122.66	78.840	125.01	523.60	-0.22671	0.00037581	0.074894	0.010627	24.721	0.040452	37.281	39.030	191.41	72.802	85.224	112.82	23.569	1.2236e-05	0.0080522
230.05	0.30190	1812.7	0.00055167	23.284	23.309	122.92	78.985	125.24	521.26	-0.22390	0.00037306	0.074763	0.010552	25.189	0.039700	37.309	39.060	191.39	72.985	85.477	112.81	23.446	1.2263e-05	0.0080882
230.53	0.30777	1810.2	0.00055242	23.345	23.370	123.19	79.128	125.46	518.96	-0.22112	0.00037036	0.074632	0.010478	25.657	0.038976	37.338	39.090	191.38	73.164	85.726	112.80	23.326	1.2289e-05	0.0081239
231.01	0.31365	1807.8	0.00055317	23.405	23.430	123.45	79.269	125.69	516.69	-0.21835	0.00036771	0.074504	0.010405	26.125	0.038278	37.366	39.119	191.36	73.342	85.974	112.79	23.209	1.2316e-05	0.0081592
231.49	0.31952	1805.4	0.00055391	23.464	23.490	123.70	79.407	125.91	514.46	-0.21560	0.00036511	0.074376	0.010334	26.593	0.037604	37.394	39.148	191.35	73.517	86.219	112.77	23.096	1.2341e-05	0.0081942
231.95	0.32539	1803.0	0.00055464	23.522	23.549	123.96	79.543	126.13	512.26	-0.21286	0.00036256	0.074250	0.010264	27.061	0.036954	37.421	39.177	191.33	73.689	86.462	112.76	22.985	1.2367e-05	0.0082289
232.41	0.33126	1800.6	0.00055537	23.580	23.607	124.20	79.677	126.34	510.09	-0.21013	0.00036005	0.074125	0.010194	27.529	0.036325	37.448	39.205	191.32	73.859	86.702	112.74	22.877	1.2392e-05	0.0082632
232.87	0.33714	1798.3	0.00055609	23.637	23.665	124.45	79.809	126.56	507.96	-0.20742	0.00035759	0.074001	0.010126	27.997	0.035718	37.474	39.233	191.30	74.027	86.940	112.72	22.772	1.2417e-05	0.0082973
233.32	0.34301	1796.0	0.00055680	23.694	23.722	124.69	79.939	126.77	505.85	-0.20472	0.00035517	0.073879	0.010059	28.465	0.035131	37.500	39.260	191.29	74.193	87.177	112.70	22.670	1.2442e-05	0.0083311
233.76	0.34888	1793.7	0.00055751	23.749	23.778	124.93	80.067	126.98	503.77	-0.20203	0.00035279	0.073758	0.0099924	28.933	0.034563	37.526	39.287	191.28	74.357	87.411	112.68	22.570	1.2467e-05	0.0083646
234.20	0.35475	1791.4	0.00055822	23.805	23.833	125.17	80.193	127.19	501.72	-0.19935	0.00035045	0.073637	0.0099270	29.401	0.034012	37.552	39.314	191.27	74.518	87.643	112.66	22.472	1.2491e-05	0.0083978
234.63	0.36063	1789.2	0.00055892	23.859	23.889	125.40	80.318	127.39	499.70	-0.19669	0.00034815	0.073518	0.0098624	29.869	0.033479	37.577	39.340	191.26	74.678	87.874	112.64	22.377	1.2515e-05	0.0084308
