Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	903.89	0.0011063	-21.358	-21.348	-67.429	104.93	144.87	1503.8	-0.52154	0.0010663	0.14258	liquid
263.15	0.10132	894.66	0.0011177	-19.898	-19.888	-61.771	107.27	147.24	1457.5	-0.50948	0.00089905	0.13994	liquid
273.15	0.10132	885.42	0.0011294	-18.413	-18.403	-56.233	109.73	149.78	1412.2	-0.49669	0.00077026	0.13726	liquid
283.15	0.10132	876.17	0.0011413	-16.902	-16.892	-50.800	112.30	152.47	1367.8	-0.48327	0.00066873	0.13453	liquid
293.15	0.10132	866.89	0.0011535	-15.364	-15.353	-45.460	114.96	155.29	1324.3	-0.46928	0.00058714	0.13178	liquid
303.15	0.10132	857.57	0.0011661	-13.796	-13.786	-40.202	117.69	158.21	1281.6	-0.45478	0.00052050	0.12901	liquid
313.15	0.10132	848.20	0.0011790	-12.199	-12.188	-35.019	120.49	161.24	1239.8	-0.43976	0.00046529	0.12624	liquid
323.15	0.10132	838.76	0.0011922	-10.572	-10.560	-29.902	123.33	164.35	1198.6	-0.42423	0.00041900	0.12347	liquid
333.15	0.10132	829.23	0.0012059	-8.9124	-8.9011	-24.845	126.21	167.53	1158.0	-0.40816	0.00037975	0.12071	liquid
343.15	0.10132	819.61	0.0012201	-7.2210	-7.2096	-19.843	129.11	170.78	1118.0	-0.39148	0.00034614	0.11798	liquid
353.15	0.10132	809.86	0.0012348	-5.4968	-5.4853	-14.890	132.03	174.09	1078.5	-0.37411	0.00031708	0.11527	liquid
363.15	0.10132	799.99	0.0012500	-3.7393	-3.7276	-9.9823	134.95	177.46	1039.4	-0.35595	0.00029176	0.11259	liquid
373.15	0.10132	789.96	0.0012659	-1.9478	-1.9360	-5.1157	137.88	180.88	1000.6	-0.33683	0.00026950	0.10996	liquid
383.15	0.10132	779.76	0.0012824	-0.12186	-0.10989	-0.28658	140.80	184.35	962.09	-0.31657	0.00024979	0.10739	liquid
383.75	0.10133	779.14	0.0012835	-0.011982	4.9596e-15	0.0000	140.98	184.56	959.80	-0.31533	0.00024868	0.10724	liquid
383.75	0.10132	3.0496	0.32792	30.173	33.234	86.605	127.61	137.84	185.41	34.485	8.7991e-06	0.017746	vapor
393.15	0.10132	2.9659	0.33717	31.396	34.544	89.976	130.61	140.64	188.08	31.265	9.0187e-06	0.018638	vapor
403.15	0.10132	2.8826	0.34691	32.726	35.965	93.546	133.79	143.64	190.84	28.298	9.2513e-06	0.019604	vapor
413.15	0.10132	2.8045	0.35657	34.087	37.416	97.102	136.94	146.63	193.53	25.720	9.4833e-06	0.020586	vapor
423.15	0.10132	2.7311	0.36616	35.479	38.898	100.64	140.07	149.63	196.16	23.468	9.7146e-06	0.021584	vapor
433.15	0.10132	2.6618	0.37568	36.901	40.409	104.17	143.16	152.60	198.72	21.490	9.9453e-06	0.022597	vapor
443.15	0.10132	2.5964	0.38515	38.354	41.950	107.69	146.22	155.56	201.24	19.744	1.0175e-05	0.023624	vapor
453.15	0.10132	2.5344	0.39457	39.836	43.520	111.19	149.23	158.49	203.70	18.197	1.0405e-05	0.024665	vapor
