Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
178.00	3.9390e-08	974.83	0.0010258	-31.779	-31.779	-116.17	94.332	135.65	1887.6	-0.57171	0.036490	0.15911	0.043455	2.4523e-06	4.0778e+05	12.076	13.556	138.52	54.734	63.049	136.02	821.70	4.4701e-06	0.0041296
310.19	0.0068772	850.90	0.0011752	-12.672	-12.671	-36.535	119.65	160.34	1251.6	-0.44413	0.00048022	0.12703	0.026438	0.24713	4.0465	22.150	24.714	83.989	100.14	108.73	173.32	76.249	7.2320e-06	0.011634
325.82	0.013754	836.14	0.0011960	-10.128	-10.127	-28.536	124.09	165.20	1187.2	-0.41985	0.00040759	0.12270	0.024559	0.47238	2.1169	23.725	26.408	83.595	105.96	114.73	176.69	62.651	7.5673e-06	0.012847
335.87	0.020632	826.54	0.0012099	-8.4518	-8.4495	-23.469	126.99	168.42	1146.5	-0.40352	0.00036983	0.11993	0.023367	0.68969	1.4499	24.777	27.533	83.664	109.72	118.64	178.66	55.663	7.7823e-06	0.013654
343.47	0.027509	819.22	0.0012207	-7.1638	-7.1607	-19.676	129.20	170.90	1116.3	-0.39078	0.00034493	0.11786	0.022476	0.90200	1.1086	25.592	28.401	83.863	112.57	121.62	180.04	51.116	7.9444e-06	0.014277
349.64	0.034386	813.22	0.0012297	-6.1019	-6.0980	-16.612	131.00	172.94	1091.8	-0.38013	0.00032661	0.11619	0.021756	1.1107	0.90031	26.266	29.119	84.110	114.88	124.06	181.09	47.816	8.0760e-06	0.014791
354.89	0.041263	808.09	0.0012375	-5.1901	-5.1854	-14.024	132.53	174.68	1071.2	-0.37086	0.00031225	0.11477	0.021149	1.3167	0.75948	26.848	29.735	84.375	116.84	126.15	181.92	45.264	8.1875e-06	0.015233
359.48	0.048140	803.57	0.0012444	-4.3860	-4.3805	-11.772	133.88	176.22	1053.3	-0.36257	0.00030052	0.11355	0.020622	1.5204	0.65772	27.362	30.279	84.645	118.56	127.98	182.60	43.205	8.2849e-06	0.015623
363.56	0.055017	799.52	0.0012507	-3.6634	-3.6570	-9.7734	135.07	177.61	1037.4	-0.35504	0.00029065	0.11246	0.020155	1.7223	0.58062	27.825	30.768	84.915	120.08	129.62	183.17	41.493	8.3716e-06	0.015974
367.26	0.061895	795.84	0.0012565	-3.0048	-2.9976	-7.9711	136.16	178.86	1023.1	-0.34809	0.00028216	0.11149	0.019734	1.9226	0.52013	28.247	31.214	85.182	121.46	131.11	183.65	40.037	8.4500e-06	0.016294
