Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
293.15	0.10132	998.21	0.0010018	1.5116	1.5134	5.3409	74.884	75.377	1482.3	-0.22492	0.0010016	0.59801	liquid
303.15	0.10132	995.65	0.0010044	2.2649	2.2667	7.8677	74.173	75.301	1509.2	-0.21819	0.00079722	0.61439	liquid
313.15	0.10132	992.22	0.0010078	3.0178	3.0197	10.311	73.383	75.293	1528.9	-0.21204	0.00065273	0.62849	liquid
323.15	0.10132	988.04	0.0010121	3.7709	3.7727	12.679	72.533	75.328	1542.6	-0.20625	0.00054652	0.64062	liquid
333.15	0.10132	983.20	0.0010171	4.5245	4.5263	14.975	71.637	75.393	1551.0	-0.20067	0.00046604	0.65100	liquid
343.15	0.10132	977.76	0.0010227	5.2788	5.2807	17.206	70.712	75.485	1554.7	-0.19518	0.00040355	0.65976	liquid
353.15	0.10132	971.79	0.0010290	6.0342	6.0361	19.376	69.770	75.606	1554.4	-0.18966	0.00035405	0.66699	liquid
363.15	0.10132	965.31	0.0010359	6.7910	6.7929	21.489	68.825	75.758	1550.5	-0.18403	0.00031418	0.67279	liquid
373.12	0.10132	958.37	0.0010434	7.5475	7.5494	23.545	67.887	75.946	1543.2	-0.17821	0.00028166	0.67720	liquid
373.12	0.10133	0.59766	1.6732	45.146	48.200	132.49	28.027	37.471	472.18	66.729	1.2231e-05	0.024568	vapor
373.15	0.10132	0.59761	1.6733	45.147	48.201	132.49	28.026	37.468	472.20	66.703	1.2232e-05	0.024570	vapor
383.15	0.10132	0.58085	1.7216	45.430	48.572	133.48	27.580	36.818	479.16	58.004	1.2619e-05	0.025402	vapor
393.15	0.10132	0.56515	1.7694	45.709	48.938	134.42	27.314	36.405	485.82	51.209	1.3008e-05	0.026246	vapor
403.15	0.10132	0.55039	1.8169	45.984	49.301	135.33	27.141	36.118	492.27	45.605	1.3400e-05	0.027101	vapor
413.15	0.10132	0.53645	1.8641	46.258	49.661	136.21	27.028	35.914	498.56	40.885	1.3795e-05	0.027968	vapor
423.15	0.10132	0.52326	1.9111	46.531	50.019	137.07	26.961	35.772	504.69	36.867	1.4192e-05	0.028848	vapor
433.15	0.10132	0.51075	1.9579	46.803	50.377	137.90	26.927	35.677	510.70	33.420	1.4590e-05	0.029741	vapor
443.15	0.10132	0.49886	2.0046	47.074	50.733	138.72	26.919	35.619	516.60	30.443	1.4991e-05	0.030646	vapor
453.15	0.10132	0.48754	2.0511	47.345	51.089	139.51	26.933	35.589	522.38	27.854	1.5394e-05	0.031564	vapor
