Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
273.18	0.00061248	999.79	0.0010002	0.0014107	0.0014217	0.0051640	75.977	76.022	1402.4	-0.24140	0.0017902	0.55565	0.075644	0.0048608	205.73	42.785	45.055	164.93	25.553	33.947	409.01	592.30	8.9463e-06	0.016762
347.39	0.037385	975.27	0.0010254	5.5992	5.5999	18.134	70.316	75.535	1555.0	-0.19284	0.00038118	0.66297	0.063720	0.23507	4.2541	44.575	47.440	138.58	27.036	35.969	458.07	96.079	1.1340e-05	0.022218
364.61	0.074157	964.31	0.0010370	6.9016	6.9029	21.793	68.688	75.784	1549.5	-0.18319	0.00030901	0.67350	0.060541	0.44632	2.2405	44.962	47.955	134.39	27.651	36.894	467.72	74.541	1.1936e-05	0.023754
375.68	0.11093	956.52	0.0010455	7.7418	7.7438	24.063	67.648	76.000	1540.8	-0.17667	0.00027428	0.67813	0.058423	0.65048	1.5373	45.201	48.273	131.94	28.151	37.662	473.48	64.649	1.2320e-05	0.024820
384.04	0.14770	950.27	0.0010523	8.3773	8.3801	25.737	66.875	76.197	1531.9	-0.17152	0.00025245	0.68056	0.056787	0.85023	1.1762	45.375	48.504	130.22	28.592	38.349	477.56	58.551	1.2610e-05	0.025672
390.82	0.18447	944.97	0.0010582	8.8949	8.8984	27.073	66.257	76.380	1523.2	-0.16715	0.00023694	0.68191	0.055436	1.0468	0.95527	45.512	48.687	128.88	28.995	38.984	480.69	54.254	1.2846e-05	0.026396
396.58	0.22125	940.32	0.0010635	9.3349	9.3391	28.190	65.741	76.553	1514.8	-0.16329	0.00022513	0.68262	0.054274	1.2410	0.80580	45.625	48.837	127.79	29.370	39.581	483.23	50.984	1.3045e-05	0.027036
401.60	0.25802	936.14	0.0010682	9.7195	9.7245	29.154	65.297	76.718	1506.9	-0.15979	0.00021569	0.68292	0.053249	1.4333	0.69771	45.721	48.964	126.86	29.723	40.150	485.34	48.367	1.3219e-05	0.027613
406.08	0.29479	932.33	0.0010726	10.063	10.068	30.004	64.908	76.877	1499.2	-0.15658	0.00020791	0.68294	0.052329	1.6239	0.61579	45.805	49.075	126.06	30.059	40.694	487.13	46.198	1.3374e-05	0.028144
410.12	0.33156	928.82	0.0010766	10.373	10.380	30.765	64.561	77.030	1491.9	-0.15357	0.00020133	0.68277	0.051490	1.8133	0.55149	45.878	49.172	125.35	30.379	41.218	488.69	44.353	1.3513e-05	0.028637
413.81	0.36834	925.55	0.0010804	10.658	10.665	31.455	64.247	77.179	1484.9	-0.15075	0.00019565	0.68246	0.050718	2.0015	0.49964	45.944	49.259	124.72	30.686	41.725	490.06	42.753	1.3640e-05	0.029099
417.22	0.40511	922.47	0.0010840	10.921	10.928	32.088	63.961	77.324	1478.2	-0.14806	0.00019069	0.68204	0.050001	2.1887	0.45690	46.003	49.337	124.15	30.981	42.216	491.27	41.344	1.3758e-05	0.029536
420.38	0.44188	919.58	0.0010875	11.165	11.174	32.673	63.699	77.465	1471.7	-0.14550	0.00018629	0.68154	0.049330	2.3750	0.42105	46.056	49.408	123.62	31.265	42.693	492.35	40.087	1.3866e-05	0.029951
423.34	0.47865	916.83	0.0010907	11.395	11.404	33.216	63.456	77.602	1465.4	-0.14304	0.00018236	0.68098	0.048700	2.5606	0.39053	46.105	49.473	123.14	31.540	43.158	493.33	38.955	1.3968e-05	0.030348
426.13	0.51542	914.21	0.0010938	11.611	11.621	33.725	63.230	77.738	1459.3	-0.14067	0.00017880	0.68036	0.048104	2.7455	0.36423	46.150	49.532	122.69	31.806	43.611	494.21	37.926	1.4063e-05	0.030728
428.76	0.55220	911.70	0.0010969	11.815	11.826	34.203	63.019	77.870	1453.4	-0.13838	0.00017557	0.67971	0.047539	2.9299	0.34131	46.192	49.587	122.27	32.063	44.054	495.02	36.984	1.4153e-05	0.031094
431.25	0.58897	909.30	0.0010998	12.009	12.020	34.654	62.821	78.000	1447.7	-0.13615	0.00017261	0.67918	0.047001	3.1137	0.32116	46.230	49.638	121.88	32.314	44.488	495.75	36.117	1.4239e-05	0.031448
433.63	0.62574	906.98	0.0011026	12.194	12.206	35.081	62.634	78.129	1442.1	-0.13399	0.00016989	0.67860	0.046488	3.2970	0.30330	46.266	49.685	121.51	32.557	44.913	496.43	35.315	1.4320e-05	0.031789
435.89	0.66251	904.76	0.0011053	12.370	12.383	35.488	62.457	78.255	1436.7	-0.13188	0.00016737	0.67796	0.045996	3.4800	0.28736	46.300	49.730	121.17	32.793	45.329	497.05	34.568	1.4397e-05	0.032121
438.06	0.69929	902.60	0.0011079	12.539	12.553	35.875	62.289	78.379	1431.4	-0.12982	0.00016503	0.67729	0.045523	3.6625	0.27304	46.331	49.771	120.84	33.024	45.738	497.62	33.871	1.4471e-05	0.032443
440.13	0.73606	900.52	0.0011105	12.702	12.717	36.245	62.130	78.502	1426.2	-0.12781	0.00016285	0.67660	0.045069	3.8447	0.26010	46.361	49.810	120.52	33.249	46.139	498.15	33.218	1.4542e-05	0.032757
442.13	0.77283	898.49	0.0011130	12.859	12.874	36.600	61.978	78.624	1421.1	-0.12583	0.00016080	0.67590	0.044631	4.0266	0.24835	46.388	49.846	120.22	33.468	46.534	498.65	32.604	1.4610e-05	0.033063
