Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
253.15	0.10132	6.3749	0.15686	12.377	14.464	85.355	12.593	21.184	162.81	24.570	1.9572e-05	0.0046609	vapor
263.15	0.10132	6.1270	0.16321	12.504	14.676	86.174	12.574	21.135	166.08	22.853	2.0353e-05	0.0048459	vapor
273.15	0.10132	5.8980	0.16955	12.631	14.887	86.962	12.558	21.094	169.29	21.336	2.1130e-05	0.0050301	vapor
283.15	0.10132	5.6858	0.17588	12.758	15.098	87.720	12.546	21.060	172.42	19.988	2.1903e-05	0.0052134	vapor
293.15	0.10132	5.4885	0.18220	12.884	15.308	88.450	12.535	21.031	175.50	18.781	2.2671e-05	0.0053955	vapor
303.15	0.10132	5.3047	0.18851	13.010	15.518	89.155	12.527	21.007	178.52	17.696	2.3435e-05	0.0055765	vapor
313.15	0.10132	5.1329	0.19482	13.136	15.728	89.836	12.520	20.986	181.49	16.715	2.4192e-05	0.0057561	vapor
323.15	0.10132	4.9720	0.20113	13.262	15.938	90.496	12.514	20.968	184.40	15.824	2.4944e-05	0.0059344	vapor
333.15	0.10132	4.8210	0.20743	13.388	16.148	91.135	12.509	20.952	187.27	15.011	2.5690e-05	0.0061113	vapor
343.15	0.10132	4.6789	0.21372	13.514	16.357	91.754	12.505	20.938	190.09	14.265	2.6429e-05	0.0062866	vapor
353.15	0.10132	4.5451	0.22002	13.639	16.566	92.355	12.501	20.926	192.87	13.580	2.7162e-05	0.0064605	vapor
363.15	0.10132	4.4188	0.22631	13.765	16.776	92.939	12.498	20.915	195.61	12.948	2.7889e-05	0.0066327	vapor
373.15	0.10132	4.2993	0.23259	13.890	16.985	93.507	12.495	20.906	198.31	12.363	2.8608e-05	0.0068035	vapor
383.15	0.10132	4.1862	0.23888	14.016	17.194	94.060	12.493	20.897	200.97	11.819	2.9321e-05	0.0069726	vapor
393.15	0.10132	4.0790	0.24516	14.141	17.403	94.599	12.491	20.890	203.59	11.313	3.0028e-05	0.0071402	vapor
403.15	0.10132	3.9771	0.25144	14.266	17.611	95.123	12.489	20.883	206.18	10.841	3.0728e-05	0.0073062	vapor
413.15	0.10132	3.8802	0.25772	14.392	17.820	95.635	12.488	20.877	208.74	10.399	3.1421e-05	0.0074707	vapor
423.15	0.10132	3.7879	0.26400	14.517	18.029	96.134	12.486	20.871	211.27	9.9841	3.2108e-05	0.0076336	vapor
433.15	0.10132	3.7000	0.27027	14.642	18.238	96.621	12.485	20.866	213.76	9.5944	3.2788e-05	0.0077950	vapor
443.15	0.10132	3.6160	0.27655	14.767	18.446	97.098	12.484	20.862	216.23	9.2273	3.3462e-05	0.0079549	vapor
453.15	0.10132	3.5358	0.28282	14.892	18.655	97.563	12.483	20.857	218.66	8.8810	3.4130e-05	0.0081133	vapor
