Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
161.40	0.081770	2966.2	0.00033713	-0.16643	-0.16281	-0.99213	22.063	44.446	653.37	-0.63702	undefined	undefined	0.018860	8.2227	0.12162	11.189	12.495	77.428	13.322	22.699	128.33	64.795	undefined	undefined
163.27	0.091370	2953.8	0.00033854	-0.083614	-0.079553	-0.48190	21.933	44.494	648.13	-0.63126	0.00052735	0.073149	0.018526	9.1034	0.10985	11.205	12.523	76.707	13.381	22.846	128.90	62.989	1.2530e-05	0.0029926
164.99	0.10097	2942.4	0.00033986	-0.0072320	-0.0027266	-0.016427	21.815	44.544	643.29	-0.62565	0.00051046	0.072424	0.018219	9.9768	0.10023	11.220	12.549	76.058	13.438	22.988	129.41	61.396	1.2672e-05	0.0030284
166.59	0.11057	2931.7	0.00034110	0.063790	0.068742	0.41207	21.708	44.597	638.79	-0.62018	0.00049549	0.071752	0.017934	10.843	0.092222	11.233	12.572	75.469	13.492	23.127	129.88	59.972	1.2806e-05	0.0030620
168.08	0.12017	2921.7	0.00034227	0.13027	0.13567	0.80946	21.609	44.652	634.56	-0.61482	0.00048208	0.071129	0.017669	11.704	0.085439	11.246	12.594	74.929	13.545	23.262	130.30	58.689	1.2931e-05	0.0030937
169.49	0.12977	2912.2	0.00034338	0.19284	0.19869	1.1803	21.518	44.708	630.58	-0.60957	0.00046997	0.070545	0.017420	12.560	0.079620	11.257	12.613	74.430	13.596	23.393	130.69	57.521	1.3049e-05	0.0031238
170.81	0.13937	2903.2	0.00034444	0.25202	0.25832	1.5282	21.434	44.765	626.81	-0.60442	0.00045894	0.069994	0.017186	13.410	0.074569	11.267	12.632	73.967	13.645	23.522	131.06	56.451	1.3162e-05	0.0031525
172.07	0.14897	2894.7	0.00034546	0.30821	0.31497	1.8561	21.355	44.823	623.22	-0.59936	0.00044884	0.069471	0.016964	14.257	0.070143	11.277	12.649	73.534	13.693	23.648	131.39	55.465	1.3269e-05	0.0031799
173.27	0.15857	2886.5	0.00034644	0.36176	0.36897	2.1663	21.281	44.882	619.80	-0.59438	0.00043953	0.068975	0.016753	15.099	0.066230	11.286	12.665	73.129	13.740	23.772	131.71	54.552	1.3371e-05	0.0032063
174.41	0.16817	2878.6	0.00034739	0.41294	0.42062	2.4609	21.211	44.941	616.52	-0.58946	0.00043091	0.068501	0.016552	15.937	0.062746	11.294	12.680	72.747	13.785	23.894	132.00	53.701	1.3469e-05	0.0032317
175.51	0.17777	2871.1	0.00034830	0.46200	0.47013	2.7414	21.146	45.000	613.38	-0.58462	0.00042290	0.068048	0.016360	16.773	0.059621	11.302	12.694	72.387	13.830	24.014	132.28	52.907	1.3563e-05	0.0032561
176.56	0.18737	2863.8	0.00034918	0.50914	0.51773	3.0093	21.083	45.060	610.36	-0.57984	0.00041542	0.067615	0.016177	17.605	0.056804	11.309	12.707	72.045	13.873	24.132	132.54	52.161	1.3654e-05	0.0032798
177.57	0.19697	2856.8	0.00035004	0.55453	0.56358	3.2657	21.024	45.120	607.44	-0.57511	0.00040841	0.067198	0.016000	18.434	0.054249	11.316	12.719	71.720	13.915	24.248	132.79	51.459	1.3742e-05	0.0033028
178.55	0.20657	2850.0	0.00035087	0.59832	0.60783	3.5118	20.967	45.180	604.63	-0.57044	0.00040182	0.066797	0.015830	19.260	0.051921	11.323	12.731	71.410	13.957	24.363	133.02	50.797	1.3827e-05	0.0033251
179.49	0.21618	2843.5	0.00035168	0.64064	0.65062	3.7483	20.913	45.240	601.91	-0.56582	0.00039561	0.066410	0.015667	20.084	0.049791	11.329	12.742	71.114	13.997	24.476	133.24	50.170	1.3909e-05	0.0033468
180.40	0.22578	2837.1	0.00035247	0.68161	0.69206	3.9761	20.862	45.301	599.27	-0.56124	0.00038973	0.066037	0.015509	20.905	0.047835	11.335	12.753	70.831	14.037	24.589	133.45	49.575	1.3989e-05	0.0033679
181.28	0.23538	2830.9	0.00035325	0.72133	0.73225	4.1959	20.812	45.361	596.71	-0.55671	0.00038417	0.065676	0.015356	21.725	0.046031	11.340	12.763	70.560	14.077	24.699	133.65	49.010	1.4067e-05	0.0033885
182.13	0.24498	2824.9	0.00035400	0.75989	0.77128	4.4083	20.765	45.422	594.23	-0.55221	0.00037889	0.065326	0.015208	22.542	0.044362	11.345	12.772	70.299	14.115	24.809	133.85	48.471	1.4142e-05	0.0034087
182.96	0.25458	2819.0	0.00035474	0.79738	0.80923	4.6137	20.719	45.483	591.81	-0.54776	0.00037387	0.064987	0.015065	23.357	0.042814	11.350	12.781	70.048	14.153	24.918	134.03	47.956	1.4216e-05	0.0034284
183.77	0.26418	2813.3	0.00035546	0.83385	0.84618	4.8128	20.675	45.544	589.45	-0.54334	0.00036908	0.064658	0.014925	24.170	0.041373	11.355	12.790	69.806	14.190	25.026	134.20	47.464	1.4287e-05	0.0034476
184.56	0.27378	2807.7	0.00035617	0.86939	0.88219	5.0058	20.633	45.605	587.15	-0.53895	0.00036450	0.064338	0.014790	24.982	0.040028	11.360	12.798	69.573	14.227	25.133	134.37	46.993	1.4357e-05	0.0034665
185.32	0.28338	2802.2	0.00035686	0.90403	0.91731	5.1933	20.592	45.666	584.91	-0.53459	0.00036013	0.064026	0.014659	25.792	0.038771	11.364	12.806	69.348	14.263	25.239	134.53	46.541	1.4426e-05	0.0034851
186.07	0.29298	2796.9	0.00035754	0.93785	0.95160	5.3756	20.552	45.727	582.72	-0.53026	0.00035594	0.063723	0.014531	26.601	0.037593	11.368	12.814	69.129	14.298	25.344	134.69	46.106	1.4493e-05	0.0035033
186.79	0.30258	2791.6	0.00035821	0.97089	0.98512	5.5529	20.514	45.788	580.58	-0.52596	0.00035192	0.063428	0.014406	27.408	0.036485	11.372	12.821	68.918	14.333	25.448	134.83	45.688	1.4558e-05	0.0035212
187.50	0.31218	2786.5	0.00035887	1.0032	1.0179	5.7256	20.477	45.849	578.49	-0.52168	0.00034806	0.063139	0.014285	28.214	0.035443	11.376	12.828	68.713	14.367	25.552	134.98	45.286	1.4622e-05	0.0035387
188.20	0.32178	2781.5	0.00035952	1.0348	1.0500	5.8940	20.441	45.910	576.44	-0.51743	0.00034434	0.062858	0.014166	29.019	0.034461	11.379	12.835	68.514	14.401	25.654	135.11	44.898	1.4685e-05	0.0035560
188.88	0.33138	2776.5	0.00036016	1.0657	1.0814	6.0582	20.406	45.971	574.43	-0.51320	0.00034077	0.062583	0.014050	29.822	0.033532	11.382	12.841	68.321	14.435	25.757	135.25	44.523	1.4747e-05	0.0035731
189.54	0.34098	2771.7	0.00036079	1.0960	1.1122	6.2185	20.372	46.032	572.46	-0.50899	0.00033732	0.062314	0.013937	30.624	0.032654	11.386	12.847	68.133	14.468	25.858	135.37	44.161	1.4807e-05	0.0035898
190.19	0.35058	2767.0	0.00036141	1.1257	1.1424	6.3752	20.340	46.093	570.53	-0.50481	0.00033399	0.062051	0.013826	31.426	0.031821	11.389	12.853	67.950	14.501	25.959	135.50	43.811	1.4867e-05	0.0036064
190.83	0.36018	2762.3	0.00036202	1.1549	1.1720	6.5283	20.308	46.154	568.63	-0.50064	0.00033078	0.061793	0.013717	32.226	0.031031	11.392	12.859	67.772	14.533	26.060	135.62	43.472	1.4925e-05	0.0036227
191.45	0.36978	2757.7	0.00036262	1.1835	1.2011	6.6781	20.276	46.215	566.77	-0.49649	0.00032767	0.061541	0.013611	33.025	0.030280	11.394	12.865	67.599	14.565	26.160	135.73	43.143	1.4982e-05	0.0036388
192.07	0.37938	2753.2	0.00036321	1.2116	1.2297	6.8247	20.246	46.276	564.94	-0.49236	0.00032466	0.061294	0.013507	33.824	0.029565	11.397	12.870	67.429	14.596	26.259	135.84	42.825	1.5039e-05	0.0036547
192.67	0.38898	2748.7	0.00036380	1.2392	1.2577	6.9683	20.216	46.337	563.14	-0.48825	0.00032175	0.061051	0.013405	34.621	0.028884	11.400	12.875	67.264	14.628	26.358	135.95	42.516	1.5094e-05	0.0036704
193.26	0.39858	2744.4	0.00036438	1.2663	1.2854	7.1090	20.188	46.398	561.37	-0.48415	0.00031893	0.060813	0.013305	35.418	0.028234	11.402	12.880	67.103	14.658	26.456	136.05	42.216	1.5149e-05	0.0036859
193.84	0.40818	2740.1	0.00036495	1.2930	1.3125	7.2470	20.160	46.459	559.63	-0.48007	0.00031619	0.060580	0.013207	36.214	0.027613	11.405	12.884	66.945	14.689	26.555	136.15	41.924	1.5203e-05	0.0037013
194.41	0.41778	2735.8	0.00036552	1.3192	1.3392	7.3823	20.132	46.521	557.92	-0.47600	0.00031353	0.060351	0.013111	37.010	0.027020	11.407	12.889	66.791	14.719	26.652	136.25	41.640	1.5256e-05	0.0037164
194.97	0.42738	2731.6	0.00036608	1.3450	1.3656	7.5151	20.105	46.582	556.23	-0.47194	0.00031095	0.060126	0.013017	37.805	0.026452	11.409	12.893	66.640	14.749	26.749	136.34	41.364	1.5308e-05	0.0037314
195.52	0.43698	2727.5	0.00036663	1.3704	1.3915	7.6455	20.079	46.643	554.57	-0.46790	0.00030844	0.059904	0.012924	38.599	0.025908	11.411	12.897	66.493	14.778	26.846	136.43	41.096	1.5360e-05	0.0037463
196.07	0.44658	2723.4	0.00036718	1.3955	1.4170	7.7736	20.054	46.704	552.93	-0.46386	0.00030600	0.059687	0.012833	39.392	0.025386	11.413	12.901	66.348	14.808	26.943	136.52	40.834	1.5411e-05	0.0037610
196.60	0.45618	2719.4	0.00036773	1.4202	1.4422	7.8994	20.029	46.765	551.31	-0.45984	0.00030363	0.059473	0.012743	40.185	0.024885	11.415	12.905	66.206	14.837	27.039	136.61	40.578	1.5461e-05	0.0037756
197.13	0.46579	2715.5	0.00036826	1.4445	1.4670	8.0231	20.004	46.827	549.72	-0.45584	0.00030131	0.059262	0.012655	40.978	0.024403	11.417	12.909	66.068	14.865	27.135	136.69	40.329	1.5511e-05	0.0037900
197.64	0.47539	2711.5	0.00036879	1.4685	1.4915	8.1448	19.980	46.888	548.15	-0.45184	0.00029906	0.059055	0.012568	41.770	0.023941	11.418	12.913	65.931	14.894	27.231	136.77	40.086	1.5559e-05	0.0038043
