model,n_items,pct_agree_AB,pct_agree_AC,pct_agree_BC,pct_agree_overall,cohens_kappa_AB,cohens_kappa_AC,cohens_kappa_BC,pabak_AB,pabak_AC,pabak_BC,pabak_overall,gwets_ac1_AB,gwets_ac1_AC,gwets_ac1_BC,gwets_ac1_overall,fleiss_kappa,krippendorffs_alpha,dominant_category,dominant_pct
OVERALL,2200,77.6364,66.6818,71.5909,71.9697,0.5841,0.4563,0.5491,0.5527,0.3336,0.4318,0.4394,0.7495,0.6214,0.6755,0.6821,0.5238,0.5238,Calculation Error,60.55
claude-opus-4-7,200,81.5,68.5,71.0,73.6667,0.16,0.1382,0.2858,0.63,0.37,0.42,0.4733,0.8044,0.6617,0.6851,0.7171,0.1844,0.1844,Calculation Error,81.67
deepseek-r1,200,78.5,64.0,66.5,69.6667,0.4848,0.3327,0.4077,0.57,0.28,0.33,0.3933,0.7656,0.5989,0.6234,0.6626,0.3904,0.3904,Calculation Error,67.83
deepseek-v4-pro,200,79.5,63.5,70.0,71.0,0.1832,0.1252,0.2987,0.59,0.27,0.4,0.42,0.7842,0.5949,0.6729,0.684,0.1879,0.1879,Calculation Error,79.17
gemini-3.1-pro-preview,200,68.5,66.0,67.0,67.1667,0.056,0.2078,0.2874,0.37,0.32,0.34,0.3433,0.6628,0.6296,0.637,0.6431,0.1825,0.1825,Calculation Error,76.17
gemma-3-27b,200,82.0,72.5,76.5,77.0,0.7387,0.6086,0.6716,0.64,0.45,0.53,0.54,0.7913,0.6804,0.726,0.7325,0.6717,0.6717,Calculation Error,46.83
gpt-5,200,85.0,64.5,68.5,72.6667,0.4881,0.2322,0.3693,0.7,0.29,0.37,0.4533,0.8408,0.6116,0.6512,0.7012,0.3285,0.3285,Calculation Error,75.5
gpt-5-mini,200,74.5,61.0,68.5,68.0,0.3839,0.2589,0.4286,0.49,0.22,0.37,0.36,0.7222,0.5664,0.6468,0.6451,0.3453,0.3453,Calculation Error,69.33
mathstral-7b,200,75.0,71.5,79.0,75.1667,0.6523,0.6135,0.7199,0.5,0.43,0.58,0.5033,0.7082,0.6661,0.7531,0.7091,0.6612,0.6612,Calculation Error,37.17
meta-llama-3.1-70b,200,79.5,72.5,80.5,77.5,0.6728,0.5902,0.7117,0.59,0.45,0.61,0.55,0.7657,0.6829,0.7747,0.7411,0.6566,0.6566,Calculation Error,51.33
qwen2.5-72b,200,81.0,71.5,73.0,75.1667,0.6973,0.5663,0.5897,0.62,0.43,0.46,0.5033,0.7827,0.6724,0.6895,0.7149,0.6147,0.6147,Calculation Error,54.33
wizardmath-7b,200,69.0,58.0,67.0,64.6667,0.5886,0.4524,0.5577,0.38,0.16,0.34,0.2933,0.6356,0.5064,0.6132,0.5851,0.5267,0.5267,Setup/Assumption Error,33.5
