template_id,branch,category,med_phys,med_math,med_ped,sigma_max,flags,grok-4.6_phys,grok-4.6_math,grok-4.6_ped,minimax-m3_phys,minimax-m3_math,minimax-m3_ped,mimo-v2.5-pro_phys,mimo-v2.5-pro_math,mimo-v2.5-pro_ped,grok-4.6_flag,minimax-m3_flag,mimo-v2.5-pro_flag,grok-4.6_conf,minimax-m3_conf,mimo-v2.5-pro_conf
template_absorbing_chain_time_to_failure,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,4
template_adiabatic_flame_temperature,chemical_engineering,Pass,5,5,5,0.471,0,5,5,4,5,5,5,5,5,5,0,0,0,5,5,5
template_aliased_frequency_identification,electrical_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,4,5,5,5,0,0,0,5,5,5
template_angle_of_twist,mechanical_engineering,Pass,5,5,5,0.471,0,4,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_annulus_flowrate,chemical_engineering,Pass,5,5,5,0.471,0,4,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_aoq_ati_rectifying,industrial_engineering,Pass,5,5,5,0.471,0,5,5,4,5,5,5,5,5,5,0,0,0,5,5,5
template_arl_beta_mean_shift,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_autocorrelation_rect_pulse,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_average_energy_mqam,electrical_engineering,Controversial,5,4,4,0.816,1,5,3,4,5,4,4,5,5,5,1,0,0,5,5,5
template_axial_deformation,mechanical_engineering,Pass,5,5,4,0.471,0,5,4,4,5,5,4,5,5,5,0,0,0,4,5,5
template_basic_buoyant_force,mechanical_engineering,Critical Failure,3,5,4,0.471,3,3,5,4,4,5,4,3,5,4,1,1,1,4,5,5
template_basic_eoq,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_basic_stress_strain,mechanical_engineering,Pass,5,4,5,0.471,1,5,4,5,5,4,5,5,5,5,0,1,0,5,4,5
template_batch_moles_vs_conversion,chemical_engineering,Critical Failure,5,4,4,0.816,2,5,3,4,5,4,3,5,5,4,1,1,0,5,4,5
template_batch_reactor_first_order,chemical_engineering,Pass,5,5,5,0.471,0,5,4,4,5,5,5,5,5,5,0,0,0,5,5,5
template_batch_reactor_second_order,chemical_engineering,Controversial,5,4,5,0.816,1,5,3,4,5,4,5,5,5,5,1,0,0,4,5,5
template_batch_reactor_zero_order,chemical_engineering,Pass,5,4,5,0.471,1,4,4,5,5,4,5,5,5,4,0,1,0,5,5,5
template_beam_deflection_formula,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_beam_internal_moment,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_beam_support_reactions,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_ber_estimation_mary,electrical_engineering,Pass,5,5,5,0.471,0,5,4,4,5,5,5,5,5,5,0,0,0,4,5,5
template_best_hydraulic_rectangular_section,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_borrow_pit_fill_volume,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_bpsk_energy_basis,electrical_engineering,Pass,5,5,5,0.471,0,5,5,4,5,5,5,5,5,5,0,0,0,4,5,5
template_c_chart_revision,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_cantilever_double_integration,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_cd_dc_system_analysis,electrical_engineering,Controversial,5,5,5,0.943,1,5,3,4,5,5,5,5,5,5,1,0,0,5,5,5
template_chart_pair_selection,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_chase_vs_level_aggregate,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_coaxial_capacitance,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_composite_shafts_series,mechanical_engineering,Controversial,5,5,5,0.943,1,3,5,5,5,5,5,5,5,5,1,0,0,5,5,5
template_constant_head_permeability,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_continuous_to_discrete_conversion,electrical_engineering,Controversial,5,5,5,0.943,1,5,3,4,5,5,5,5,5,5,1,0,0,5,5,5
template_coulombs_law,electrical_engineering,Pass,5,4,5,0.471,0,5,4,5,5,4,4,5,5,5,0,0,0,5,5,5
template_cp_cpk_from_specs,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_critical_depth_froude_classification,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_cstr_volume_basic,chemical_engineering,Pass,5,5,4,0.471,0,5,5,4,5,5,4,5,5,5,0,0,0,5,5,5
template_damping_classification,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_decimation_aliasing_analysis,electrical_engineering,Pass,5,5,5,0.471,0,5,4,5,5,5,5,5,5,5,0,0,0,4,5,5
template_effective_stress_profile,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_epq_finite_production,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_equivalent_stiffness_frequency,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_euclidean_distance_binary,electrical_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,4,5,5,5,0,0,0,5,5,5
template_exponential_mttf_topology,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_falling_film_max_velocity,chemical_engineering,Pass,5,5,5,0.471,0,5,5,5,4,5,4,5,5,5,0,0,0,5,5,5
template_finite_convolution,electrical_engineering,Pass,5,5,4,0.471,0,5,5,4,5,5,4,5,5,5,0,0,0,5,4,5
template_floating_object_submersion_depth,mechanical_engineering,Controversial,4,5,5,0.816,1,4,5,5,3,5,4,5,5,5,0,1,0,5,4,5
template_flow_system_molar_flow_rates,chemical_engineering,Pass,5,4,5,0.471,0,5,4,5,5,4,4,5,5,5,0,0,0,5,5,5
template_fluid_particle_acceleration,mechanical_engineering,Controversial,4,5,4,0.816,1,4,5,4,3,5,4,5,5,5,0,1,0,5,5,5
template_force_method_continuous_beam,civil_engineering,Pass,5,5,5,0.471,0,5,4,5,5,5,5,5,5,5,0,0,0,5,5,5
template_ft_esd_rect_pulse,electrical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_gas_phase_concentration,chemical_engineering,Critical Failure,3,5,3,0.816,3,2,5,3,3,5,3,4,5,3,1,1,1,5,4,4
template_gas_viscosity_kinetic_theory,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_gauss_law_symmetric,electrical_engineering,Critical Failure,5,5,4,0.943,2,5,3,4,5,5,4,5,5,5,1,1,0,5,5,5
template_hagen_poiseuille_flowrate,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_heat_of_reaction_formation,chemical_engineering,Pass,5,5,5,0.471,0,5,5,5,5,5,4,5,5,5,0,0,0,5,5,5
template_hydraulic_jump_energy_loss,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_hydrostatic_force_on_plane,mechanical_engineering,Pass,5,5,4,0.0,0,5,5,4,5,5,4,5,5,4,0,0,0,5,5,5
template_hydrostatic_pressure_at_depth,mechanical_engineering,Pass,5,5,5,0.471,0,5,5,4,5,5,5,5,5,5,0,0,0,5,5,5
template_ideal_gas_volume,chemical_engineering,Controversial,5,5,5,0.943,1,4,3,5,5,5,5,5,5,5,1,0,0,5,5,5
template_impulse_response_from_lccde,electrical_engineering,Critical Failure,5,4,4,0.816,2,5,3,4,5,4,3,5,5,4,1,1,0,5,4,5
template_incompressible_continuity,mechanical_engineering,Pass,5,5,4,0.471,0,5,5,5,5,5,4,5,5,4,0,0,0,5,5,5
template_infinite_slope_factor_of_safety,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_influence_line_max_reaction,civil_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_kinematic_viscosity,chemical_engineering,Pass,5,4,4,0.471,1,5,4,4,4,4,4,5,5,5,0,1,0,5,4,5
template_latent_heat_vaporization,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_levenspiel_plot_interpretation,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_limiting_reactant,chemical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
template_line_balancing_heuristic,industrial_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,4,5
template_linear_reservoir_routing_step,civil_engineering,Pass,5,5,5,0.471,1,5,4,4,5,5,5,5,5,5,1,0,0,4,5,5
template_logarithmic_decrement,mechanical_engineering,Pass,5,5,5,0.0,0,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5
